amfi_code,alpha,beta
100016,-0.08969879640543678,0.78844073348412
100025,0.03319866074294831,0.06071304883828607
100033,0.11442300096849975,0.9915895273399907
101206,0.09744276980996126,0.7370150749441954
101207,-0.3507412243169112,2.8781840749412018
101208,0.06103184313333541,-0.0010198340079364248
102885,0.07188210134066048,0.6162922657571313
102886,-0.1156784482249716,0.9014414037954364
102887,0.02454656342779425,0.8682864578367648
118632,0.05710603966933179,1.0119847058962188
118633,0.04422646866006804,0.698535228576799
118634,-0.17834516605752684,2.2420162446678216
118635,0.051794875476774804,0.6258420867428851
118636,0.03495242125822959,0.09956905729843601
119092,-0.115018727162994,1.1590213318629516
119093,-0.0781152813660859,1.0139262119982864
119094,0.016867230962721063,1.5208964816027541
119095,-0.30562434612444783,2.210849075685049
119120,0.042514540614625417,0.08487388027964801
119551,0.14151304739808196,0.5629308778564811
119552,0.06197305331497181,0.8546331906290232
119598,-0.08812721951686406,2.457368834340667
119599,-0.2736242233843515,2.039654144988359
120503,0.028728935886037824,0.9247921208111866
120504,0.1159943701925547,0.606529157607952
120505,0.10264725537819636,1.1948147642957911
120506,0.018469334050126258,0.914058887459882
120507,0.06836000378313713,-0.005732200015387921
120841,0.020996230009682315,0.6951836824355573
120842,-0.09246402314999574,1.0757046552738523
120843,0.10264488235821478,1.0687458558332728
120844,0.06624144385499518,-0.010671268007490776
125497,0.03371692785650557,0.9123261794104112
125498,-0.09849952597540404,1.3750608967383795
148567,0.1819679361935331,0.5571340440928771
148568,0.07904245498406465,0.8104117143433326
148569,0.09647297419056043,1.1745863251691933
149322,-0.019263725813704502,0.9487248528073084
149323,0.08772338760612483,1.120482392152478
149324,-0.05127804562304308,2.2148038342368395
